DATE,MONTH,FY,MC,MACHINE_NO,OPERATION_RATE
31-Oct-24,OCT,FY_24,TE,TE3,40%
31-Oct-24,OCT,FY_24,TE,TE4,71%
31-Oct-24,OCT,FY_24,TS,TS1,87%
31-Oct-24,OCT,FY_24,TS,TS2,0%
31-Oct-24,OCT,FY_24,TS,TS3,0%
31-Oct-24,OCT,FY_24,TS,TS4,100%
31-Oct-24,OCT,FY_24,TH,TH1,57%
31-Oct-24,OCT,FY_24,TH,TH2,41%
31-Oct-24,OCT,FY_24,TH,TH4,6%
31-Oct-24,OCT,FY_24,TH,TH5,31%
31-Oct-24,OCT,FY_24,TENSILE,TENSILE,0%
31-Oct-24,OCT,FY_24,VI,VI,7%
31-Oct-24,OCT,FY_24,CMM,CMM,1%
31-Oct-24,OCT,FY_24,CHILLER ,CHILLER 10T,59%
31-Oct-24,OCT,FY_24,CHILLER ,CHILLER 15T NO.1,88%
31-Oct-24,OCT,FY_24,CHILLER ,CHILLER 15T NO.2,100%
31-Oct-24,OCT,FY_24,DURA,DURA_TURN,100%
31-Oct-24,OCT,FY_24,DURA,DURA_DIM,100%
31-Oct-24,OCT,FY_24,DURA,DURA_LIGHT,100%
31-Oct-24,OCT,FY_24,DURA,DURA_STOP,0%
31-Oct-24,OCT,FY_24,DURA,DURA_DOOR,0%
31-Oct-24,OCT,FY_24,DURA,DURA_STEER,0%
31-Oct-24,OCT,FY_24,DURA,DURA_BUTTON,0%
30-Nov-24,NOV,FY_24,TE,TE1,71%
30-Nov-24,NOV,FY_24,TE,TE2,29%
30-Nov-24,NOV,FY_24,TE,TE3,44%
30-Nov-24,NOV,FY_24,TE,TE4,50%
30-Nov-24,NOV,FY_24,TS,TS1,86%
30-Nov-24,NOV,FY_24,TS,TS2,0%
30-Nov-24,NOV,FY_24,TS,TS3,0%
30-Nov-24,NOV,FY_24,TS,TS4,95%
30-Nov-24,NOV,FY_24,TH,TH1,91%
30-Nov-24,NOV,FY_24,TH,TH2,46%
30-Nov-24,NOV,FY_24,TH,TH4,71%
30-Nov-24,NOV,FY_24,TH,TH5,64%
30-Nov-24,NOV,FY_24,TENSILE,TENSILE,1%
30-Nov-24,NOV,FY_24,VI,VI,12%
30-Nov-24,NOV,FY_24,CMM,CMM,3%
30-Nov-24,NOV,FY_24,CHILLER ,CHILLER 10T,91%
30-Nov-24,NOV,FY_24,CHILLER ,CHILLER 15T NO.1,0%
30-Nov-24,NOV,FY_24,CHILLER ,CHILLER 15T NO.2,95%
30-Nov-24,NOV,FY_24,DURA,DURA_TURN,100%
30-Nov-24,NOV,FY_24,DURA,DURA_DIM,100%
30-Nov-24,NOV,FY_24,DURA,DURA_LIGHT,100%
30-Nov-24,NOV,FY_24,DURA,DURA_STOP,0%
30-Nov-24,NOV,FY_24,DURA,DURA_DOOR,0%
30-Nov-24,NOV,FY_24,DURA,DURA_STEER,0%
30-Nov-24,NOV,FY_24,DURA,DURA_BUTTON,0%
31-Dec-24,DEC,FY_24,TE,TE1,46%
31-Dec-24,DEC,FY_24,TE,TE2,63%
31-Dec-24,DEC,FY_24,TE,TE3,56%
31-Dec-24,DEC,FY_24,TE,TE4,34%
31-Dec-24,DEC,FY_24,TS,TS1,0%
31-Dec-24,DEC,FY_24,TS,TS2,0%
31-Dec-24,DEC,FY_24,TS,TS3,0%
31-Dec-24,DEC,FY_24,TS,TS4,95%
31-Dec-24,DEC,FY_24,TH,TH1,30%
31-Dec-24,DEC,FY_24,TH,TH2,47%
31-Dec-24,DEC,FY_24,TH,TH4,57%
31-Dec-24,DEC,FY_24,TH,TH5,56%
31-Dec-24,DEC,FY_24,TENSILE,TENSILE,1%
31-Dec-24,DEC,FY_24,VI,VI,26%
31-Dec-24,DEC,FY_24,CMM,CMM,2%
31-Dec-24,DEC,FY_24,CHILLER ,CHILLER 10T,30%
31-Dec-24,DEC,FY_24,CHILLER ,CHILLER 15T NO.1,0%
31-Dec-24,DEC,FY_24,CHILLER ,CHILLER 15T NO.2,64%
31-Dec-24,DEC,FY_24,DURA,DURA_TURN,25%
31-Dec-24,DEC,FY_24,DURA,DURA_DIM,25%
31-Dec-24,DEC,FY_24,DURA,DURA_LIGHT,0%
31-Dec-24,DEC,FY_24,DURA,DURA_STOP,0%
31-Dec-24,DEC,FY_24,DURA,DURA_DOOR,0%
31-Dec-24,DEC,FY_24,DURA,DURA_STEER,0%
31-Dec-24,DEC,FY_24,DURA,DURA_BUTTON,0%
31-Jan-25,JAN,FY_24,TE,TE1,83%
31-Jan-25,JAN,FY_24,TE,TE2,27%
31-Jan-25,JAN,FY_24,TE,TE3,37%
31-Jan-25,JAN,FY_24,TE,TE4,76%
31-Jan-25,JAN,FY_24,TS,TS1,0%
31-Jan-25,JAN,FY_24,TS,TS2,0%
31-Jan-25,JAN,FY_24,TS,TS4,78%
31-Jan-25,JAN,FY_24,TS,TS5,78%
31-Jan-25,JAN,FY_24,TH,TH1,19%
31-Jan-25,JAN,FY_24,TH,TH2,49%
31-Jan-25,JAN,FY_24,TH,TH4,34%
31-Jan-25,JAN,FY_24,TH,TH5,34%
31-Jan-25,JAN,FY_24,TENSILE,TENSILE,1%
31-Jan-25,JAN,FY_24,VI,VI,11%
31-Jan-25,JAN,FY_24,CMM,CMM,1%
31-Jan-25,JAN,FY_24,CHILLER ,CHILLER 10T,19%
31-Jan-25,JAN,FY_24,CHILLER ,CHILLER 15T NO.1,0%
31-Jan-25,JAN,FY_24,CHILLER ,CHILLER 15T NO.2,78%
31-Jan-25,JAN,FY_24,DURA,DURA_TURN,0%
31-Jan-25,JAN,FY_24,DURA,DURA_DIM,0%
31-Jan-25,JAN,FY_24,DURA,DURA_LIGHT,0%
31-Jan-25,JAN,FY_24,DURA,DURA_STOP,100%
31-Jan-25,JAN,FY_24,DURA,DURA_DOOR,0%
31-Jan-25,JAN,FY_24,DURA,DURA_STEER,0%
31-Jan-25,JAN,FY_24,DURA,DURA_BUTTON,0%
28-Feb-25,FEB,FY_24,TE,TE1,46%
28-Feb-25,FEB,FY_24,TE,TE2,24%
28-Feb-25,FEB,FY_24,TE,TE3,64%
